"review_id","analysis_id","n_effects"
"CD013541","CD013541_G1_N4",5
"CD013541","CD013541_G12_N1",2
"CD013541","CD013541_G12_N2",2
"CD013541","CD013541_G12_N3",2
"CD013541","CD013541_G13_N1",6
"CD013541","CD013541_G13_N2",2
"CD013541","CD013541_G13_N3",4
"CD013541","CD013541_G14_N1",5
"CD013541","CD013541_G14_N2",2
"CD013541","CD013541_G14_N3",4
"CD013541","CD013541_G14_N4",1
"CD013541","CD013541_G17_N1",5
"CD013541","CD013541_G17_N2",2
"CD013541","CD013541_G17_N3",8
"CD013541","CD013541_G17_N4",8
"CD013541","CD013541_G19_N1",2
"CD013541","CD013541_G2_N1",7
"CD013541","CD013541_G2_N2",3
"CD013541","CD013541_G2_N3",3
"CD013541","CD013541_G3_N1",1
"CD013541","CD013541_G3_N3",2
"CD013541","CD013541_G5_N1",1
"CD013541","CD013541_G6_N1",2
"CD013541","CD013541_G6_N2",5
"CD013541","CD013541_G6_N4",4
"CD013541","CD013541_G6_N5",2
"CD013541","CD013541_G6_N6",4
"CD013541","CD013541_G6_N7",6
"CD013541","CD013541_G6_N8",2
"CD013541","CD013541_G6_N9",5
"CD013541","CD013541_G7_N1",7
"CD013541","CD013541_G7_N2",2
"CD013541","CD013541_G7_N4",6
"CD013541","CD013541_G7_N5",2
"CD013541","CD013541_G7_N6",2
"CD013541","CD013541_G7_N7",4
"CD013541","CD013541_G7_N8",2
"CD013541","CD013541_G8_N1",6
"CD013541","CD013541_G8_N2",4
"CD013541","CD013541_G8_N4",2
"CD013561","CD013561_G1_N1",1
"CD013561","CD013561_G1_N2",1
"CD013561","CD013561_G2_N2",4
"CD013561","CD013561_G2_N3",5
"CD013561","CD013561_G2_N4",4
"CD013561","CD013561_G2_N5",2
"CD013561","CD013561_G2_N6",1
"CD013561","CD013561_G2_N7",2
"CD013571","CD013571_G4_N4",1
"CD013590","CD013590_G10_N1",1
"CD013590","CD013590_G11_N2",1
"CD013590","CD013590_G15_N1",2
"CD013590","CD013590_G15_N2",3
"CD013590","CD013590_G17_N1",1
"CD013590","CD013590_G3_N1",3
"CD013590","CD013590_G3_N10",3
"CD013590","CD013590_G3_N7",3
"CD013590","CD013590_G3_N8",1
"CD013590","CD013590_G3_N9",1
"CD013590","CD013590_G5_N3",1
"CD013590","CD013590_G6_N1",1
"CD013590","CD013590_G7_N1",3
"CD013590","CD013590_G7_N2",1
"CD013590","CD013590_G7_N3",1
"CD013590","CD013590_G7_N6",1
"CD013590","CD013590_G8_N1",1
"CD013590","CD013590_G9_N2",2
"CD013591","CD013591_G1_N1",4
"CD013591","CD013591_G1_N2",3
"CD013591","CD013591_G1_N3",8
"CD013591","CD013591_G1_N4",9
"CD013591","CD013591_G1_N5",1
"CD013591","CD013591_G1_N7",3
"CD013591","CD013591_G1_N8",4
"CD013591","CD013591_G1_N9",3
"CD013591","CD013591_G2_N1",1
"CD013591","CD013591_G2_N3",1
"CD013591","CD013591_G2_N4",1
"CD013591","CD013591_G2_N5",1
"CD013591","CD013591_G3_N1",1
"CD013595","CD013595_G1_N1",2
"CD013595","CD013595_G1_N2",2
"CD013595","CD013595_G1_N3",3
"CD013595","CD013595_G2_N1",3
"CD013595","CD013595_G3_N1",1
"CD013595","CD013595_G3_N2",2
"CD013595","CD013595_G3_N3",2
"CD013595","CD013595_G5_N1",1
"CD013595","CD013595_G6_N1",1
"CD013595","CD013595_G6_N2",1
"CD013595","CD013595_G6_N3",1
"CD013595","CD013595_G6_N4",1
"CD013595","CD013595_G6_N5",1
"CD013595","CD013595_G6_N6",1
"CD013595","CD013595_G6_N7",1
"CD013595","CD013595_G6_N8",1
"CD013595","CD013595_G6_N9",1
"CD013595","CD013595_G7_N1",1
"CD013595","CD013595_G8_N1",2
"CD013614","CD013614_G1_N10",1
"CD013614","CD013614_G1_N5",1
"CD013614","CD013614_G4_N28",1
"CD013614","CD013614_G4_N30",1
"CD013614","CD013614_G4_N40",1
"CD013614","CD013614_G5_N1",1
"CD013614","CD013614_G5_N2",1
"CD013614","CD013614_G5_N22",1
"CD013614","CD013614_G5_N3",1
"CD013614","CD013614_G5_N4",1
"CD013614","CD013614_G5_N5",1
"CD013614","CD013614_G5_N6",1
"CD013631","CD013631_G2_N10",1
"CD013631","CD013631_G2_N12",1
"CD013631","CD013631_G2_N7",1
"CD013631","CD013631_G8_N11",1
"CD013643","CD013643_G1_N12",1
"CD013643","CD013643_G1_N14",5
"CD013643","CD013643_G1_N3",3
"CD013643","CD013643_G1_N4",1
"CD013643","CD013643_G1_N6",1
"CD013643","CD013643_G1_N8",2
"CD013643","CD013643_G1_N9",1
"CD013672","CD013672_G1_N1",1
"CD013672","CD013672_G1_N2",1
"CD013672","CD013672_G1_N5",1
"CD013672","CD013672_G4_N1",1
"CD013715","CD013715_G1_N4",1
"CD013715","CD013715_G1_N7",3
"CD013715","CD013715_G2_N16",8
"CD013719","CD013719_G6_N1",1
"CD013726","CD013726_G3_N8",1
"CD013729","CD013729_G1_N7",1
"CD013729","CD013729_G2_N1",1
"CD013729","CD013729_G2_N3",1
"CD013729","CD013729_G2_N9",1
"CD013731","CD013731_G1_N1",1
"CD013748","CD013748_G1_N1",2
"CD013748","CD013748_G1_N2",1
"CD013748","CD013748_G2_N1",1
"CD013748","CD013748_G2_N2",1
"CD013757","CD013757_G1_N1",6
"CD013757","CD013757_G1_N10",2
"CD013757","CD013757_G1_N6",2
"CD013757","CD013757_G1_N7",4
"CD013757","CD013757_G1_N8",2
"CD013757","CD013757_G1_N9",2
"CD013764","CD013764_G1_N2",1
"CD013764","CD013764_G1_N3",1
"CD013764","CD013764_G1_N4",1
"CD013764","CD013764_G1_N5",1
"CD013764","CD013764_G1_N6",1
"CD013764","CD013764_G2_N1",1
"CD013764","CD013764_G2_N2",1
"CD013764","CD013764_G2_N3",1
"CD013764","CD013764_G2_N4",1
"CD013764","CD013764_G2_N5",1
"CD013764","CD013764_G2_N6",1
"CD013774","CD013774_G1_N1",3
"CD013774","CD013774_G1_N4",2
"CD013774","CD013774_G1_N6",3
"CD013774","CD013774_G1_N8",3
"CD013774","CD013774_G1_N9",2
"CD013774","CD013774_G2_N1",2
"CD013774","CD013774_G2_N10",2
"CD013774","CD013774_G2_N4",2
"CD013774","CD013774_G2_N6",3
"CD013774","CD013774_G2_N7",2
"CD013800","CD013800_G1_N2",1
"CD013800","CD013800_G1_N6",2
"CD013801","CD013801_G1_N1",2
"CD013801","CD013801_G1_N10",1
"CD013801","CD013801_G1_N12",1
"CD013801","CD013801_G1_N14",2
"CD013801","CD013801_G1_N2",3
"CD013801","CD013801_G1_N21",4
"CD013801","CD013801_G1_N22",1
"CD013801","CD013801_G1_N23",1
"CD013801","CD013801_G1_N28",5
"CD013801","CD013801_G1_N29",2
"CD013801","CD013801_G1_N3",2
"CD013801","CD013801_G1_N4",1
"CD013801","CD013801_G1_N6",2
"CD013801","CD013801_G1_N7",1
"CD013801","CD013801_G1_N8",1
"CD013801","CD013801_G2_N1",4
"CD013801","CD013801_G2_N11",2
"CD013801","CD013801_G2_N13",1
"CD013801","CD013801_G2_N17",2
"CD013801","CD013801_G2_N18",1
"CD013801","CD013801_G2_N19",1
"CD013801","CD013801_G2_N2",2
"CD013801","CD013801_G2_N20",1
"CD013801","CD013801_G2_N21",1
"CD013801","CD013801_G2_N25",1
"CD013801","CD013801_G2_N27",5
"CD013801","CD013801_G2_N28",1
"CD013801","CD013801_G2_N3",2
"CD013801","CD013801_G2_N5",1
"CD013801","CD013801_G2_N6",1
"CD013801","CD013801_G3_N1",1
"CD013810","CD013810_G1_N1",1
"CD013810","CD013810_G1_N11",1
"CD013810","CD013810_G1_N16",2
"CD013810","CD013810_G1_N2",1
"CD013816","CD013816_G1_N2",1
"CD013816","CD013816_G1_N9",1
"CD013816","CD013816_G2_N12",1
"CD013816","CD013816_G2_N13",1
"CD013816","CD013816_G2_N2",1
"CD013816","CD013816_G2_N7",1
"CD013821","CD013821_G1_N1",1
"CD013821","CD013821_G1_N11",3
"CD013821","CD013821_G1_N7",16
"CD013821","CD013821_G1_N9",14
"CD013822","CD013822_G2_N3",3
"CD013822","CD013822_G3_N2",2
"CD013822","CD013822_G3_N3",9
"CD013822","CD013822_G3_N5",5
"CD013822","CD013822_G3_N9",3
"CD013827","CD013827_G3_N2",2
"CD013834","CD013834_G1_N4",3
"CD013834","CD013834_G8_N1",1
"CD013835","CD013835_G1_N1",2
"CD013835","CD013835_G1_N2",2
"CD013853","CD013853_G1_N1",2
"CD013853","CD013853_G1_N2",2
"CD013853","CD013853_G1_N3",1
"CD013853","CD013853_G2_N1",2
"CD013853","CD013853_G2_N3",2
"CD013853","CD013853_G3_N1",1
"CD013853","CD013853_G3_N2",2
"CD013853","CD013853_G3_N3",2
"CD013853","CD013853_G3_N4",1
"CD013853","CD013853_G3_N5",1
"CD013853","CD013853_G7_N1",2
"CD013853","CD013853_G7_N2",1
"CD013853","CD013853_G8_N1",1
"CD013853","CD013853_G9_N2",2
"CD013853","CD013853_G9_N3",1
"CD013857","CD013857_G1_N2",1
"CD013857","CD013857_G1_N3",1
"CD013874","CD013874_G1_N11",1
"CD013874","CD013874_G1_N12",1
"CD013874","CD013874_G1_N2",1
"CD013874","CD013874_G1_N4",1
"CD013874","CD013874_G1_N5",1
"CD013874","CD013874_G1_N6",1
"CD013874","CD013874_G1_N7",1
"CD013874","CD013874_G1_N8",1
"CD013874","CD013874_G10_N2",3
"CD013874","CD013874_G10_N3",2
"CD013874","CD013874_G10_N6",3
"CD013874","CD013874_G10_N7",2
"CD013874","CD013874_G10_N8",1
"CD013874","CD013874_G11_N1",1
"CD013874","CD013874_G11_N2",1
"CD013874","CD013874_G2_N1",4
"CD013874","CD013874_G2_N3",4
"CD013874","CD013874_G3_N1",1
"CD013874","CD013874_G3_N2",1
"CD013874","CD013874_G3_N3",1
"CD013874","CD013874_G3_N4",1
"CD013874","CD013874_G3_N5",1
"CD013874","CD013874_G3_N6",1
"CD013874","CD013874_G4_N1",1
"CD013874","CD013874_G4_N2",1
"CD013874","CD013874_G4_N3",2
"CD013874","CD013874_G4_N4",1
"CD013874","CD013874_G4_N5",1
"CD013874","CD013874_G4_N7",1
"CD013874","CD013874_G5_N1",5
"CD013874","CD013874_G5_N10",3
"CD013874","CD013874_G5_N11",3
"CD013874","CD013874_G5_N14",3
"CD013874","CD013874_G5_N15",5
"CD013874","CD013874_G5_N2",6
"CD013874","CD013874_G5_N4",7
"CD013874","CD013874_G5_N5",3
"CD013874","CD013874_G5_N7",1
"CD013874","CD013874_G5_N9",1
"CD013874","CD013874_G8_N1",1
"CD013874","CD013874_G9_N1",1
"CD014040","CD014040_G1_N10",1
"CD014040","CD014040_G1_N2",1
"CD014040","CD014040_G1_N4",1
"CD014040","CD014040_G1_N7",1
"CD014040","CD014040_G1_N9",1
"CD014040","CD014040_G2_N1",1
"CD014089","CD014089_G1_N1",9
"CD014089","CD014089_G1_N2",9
"CD014089","CD014089_G1_N3",1
"CD014089","CD014089_G1_N4",5
"CD014089","CD014089_G1_N5",1
"CD014089","CD014089_G1_N6",2
"CD014089","CD014089_G1_N7",8
"CD014089","CD014089_G1_N8",1
"CD014089","CD014089_G2_N1",11
"CD014089","CD014089_G2_N2",11
"CD014089","CD014089_G3_N1",10
"CD014089","CD014089_G3_N2",10
"CD014089","CD014089_G4_N1",3
"CD014089","CD014089_G4_N2",3
"CD014089","CD014089_G5_N1",9
"CD014089","CD014089_G5_N2",9
"CD014089","CD014089_G6_N1",9
"CD014089","CD014089_G6_N2",9
"CD014089","CD014089_G6_N3",1
"CD014089","CD014089_G6_N4",5
"CD014089","CD014089_G6_N5",1
"CD014428","CD014428_G1_N1",4
"CD014428","CD014428_G1_N2",1
"CD014428","CD014428_G1_N3",1
"CD014428","CD014428_G1_N4",1
"CD014428","CD014428_G2_N1",5
"CD014428","CD014428_G2_N2",5
"CD014428","CD014428_G2_N3",1
"CD014428","CD014428_G2_N4",2
"CD014428","CD014428_G2_N5",2
"CD014428","CD014428_G2_N6",1
"CD014428","CD014428_G2_N7",1
"CD014428","CD014428_G3_N1",1
"CD014428","CD014428_G3_N2",2
"CD014428","CD014428_G3_N3",1
"CD014428","CD014428_G4_N1",2
"CD014428","CD014428_G4_N2",2
"CD014428","CD014428_G4_N3",1
"CD014428","CD014428_G5_N1",2
"CD014428","CD014428_G6_N2",1
"CD014541","CD014541_G1_N1",4
"CD014541","CD014541_G1_N10",2
"CD014541","CD014541_G1_N11",5
"CD014541","CD014541_G1_N12",5
"CD014541","CD014541_G1_N13",2
"CD014541","CD014541_G1_N14",1
"CD014541","CD014541_G1_N15",2
"CD014541","CD014541_G1_N16",2
"CD014541","CD014541_G1_N17",2
"CD014541","CD014541_G1_N18",2
"CD014541","CD014541_G1_N19",5
"CD014541","CD014541_G1_N2",4
"CD014541","CD014541_G1_N20",2
"CD014541","CD014541_G1_N21",1
"CD014541","CD014541_G1_N22",4
"CD014541","CD014541_G1_N25",1
"CD014541","CD014541_G1_N26",4
"CD014541","CD014541_G1_N27",6
"CD014541","CD014541_G1_N28",1
"CD014541","CD014541_G1_N3",3
"CD014541","CD014541_G1_N4",2
"CD014541","CD014541_G1_N6",1
"CD014541","CD014541_G1_N7",1
"CD014541","CD014541_G1_N8",2
"CD014541","CD014541_G1_N9",2
"CD014544","CD014544_G1_N1",2
"CD014544","CD014544_G1_N3",2
"CD014544","CD014544_G2_N1",3
"CD014544","CD014544_G2_N2",1
"CD014544","CD014544_G2_N4",6
"CD014544","CD014544_G3_N1",4
"CD014544","CD014544_G3_N4",2
"CD014544","CD014544_G3_N5",4
"CD014544","CD014544_G4_N1",5
"CD014544","CD014544_G4_N2",1
"CD014544","CD014544_G4_N6",3
"CD014544","CD014544_G5_N1",1
"CD014544","CD014544_G5_N2",1
"CD014544","CD014544_G5_N3",1
"CD014544","CD014544_G5_N6",4
"CD014544","CD014544_G6_N1",5
"CD014544","CD014544_G6_N2",1
"CD014544","CD014544_G6_N3",2
"CD014544","CD014544_G6_N4",1
"CD014544","CD014544_G6_N5",1
"CD014544","CD014544_G6_N6",3
"CD014544","CD014544_G7_N1",1
"CD014544","CD014544_G7_N2",1
"CD014544","CD014544_G7_N3",1
"CD014544","CD014544_G7_N4",1
"CD014573","CD014573_G1_N1",1
"CD014573","CD014573_G1_N2",2
"CD014573","CD014573_G2_N1",2
"CD014573","CD014573_G2_N2",2
"CD014573","CD014573_G2_N3",1
"CD014573","CD014573_G2_N4",1
"CD014573","CD014573_G2_N5",1
"CD014573","CD014573_G2_N6",1
"CD014573","CD014573_G2_N7",1
"CD014574","CD014574_G1_N1",2
"CD014574","CD014574_G1_N2",2
"CD014574","CD014574_G1_N3",2
"CD014574","CD014574_G1_N4",2
"CD014574","CD014574_G1_N5",2
"CD014574","CD014574_G2_N1",2
"CD014574","CD014574_G2_N10",1
"CD014574","CD014574_G2_N11",1
"CD014574","CD014574_G2_N12",1
"CD014574","CD014574_G2_N13",1
"CD014574","CD014574_G2_N14",1
"CD014574","CD014574_G2_N15",1
"CD014574","CD014574_G2_N16",1
"CD014574","CD014574_G2_N17",2
"CD014574","CD014574_G2_N18",1
"CD014574","CD014574_G2_N19",1
"CD014574","CD014574_G2_N2",1
"CD014574","CD014574_G2_N20",2
"CD014574","CD014574_G2_N21",2
"CD014574","CD014574_G2_N22",1
"CD014574","CD014574_G2_N23",2
"CD014574","CD014574_G2_N24",1
"CD014574","CD014574_G2_N25",2
"CD014574","CD014574_G2_N26",2
"CD014574","CD014574_G2_N27",1
"CD014574","CD014574_G2_N28",1
"CD014574","CD014574_G2_N3",2
"CD014574","CD014574_G2_N4",1
"CD014574","CD014574_G2_N5",2
"CD014574","CD014574_G2_N6",2
"CD014574","CD014574_G2_N7",1
"CD014574","CD014574_G2_N8",2
"CD014574","CD014574_G2_N9",2
"CD014574","CD014574_G3_N1",2
"CD014574","CD014574_G3_N2",2
"CD014574","CD014574_G3_N3",2
"CD014574","CD014574_G3_N4",2
"CD014574","CD014574_G3_N5",2
"CD014580","CD014580_G6_N1",1
"CD014585","CD014585_G1_N1",4
"CD014585","CD014585_G1_N2",1
"CD014585","CD014585_G1_N3",7
"CD014585","CD014585_G1_N4",3
"CD014585","CD014585_G1_N5",1
"CD014585","CD014585_G1_N6",2
"CD014585","CD014585_G3_N1",1
"CD014585","CD014585_G3_N2",1
"CD014585","CD014585_G4_N1",2
"CD014585","CD014585_G4_N2",11
"CD014585","CD014585_G4_N3",12
"CD014585","CD014585_G5_N1",8
"CD014585","CD014585_G5_N2",11
"CD014585","CD014585_G5_N3",12
"CD014617","CD014617_G1_N1",1
"CD014617","CD014617_G1_N2",1
"CD014617","CD014617_G1_N4",1
"CD014617","CD014617_G2_N1",1
"CD014617","CD014617_G2_N2",3
"CD014617","CD014617_G2_N3",2
"CD014623","CD014623_G1_N1",1
"CD014623","CD014623_G1_N2",1
"CD014623","CD014623_G1_N3",1
"CD014623","CD014623_G1_N4",1
"CD014623","CD014623_G1_N5",2
"CD014623","CD014623_G1_N6",2
"CD014623","CD014623_G1_N7",2
"CD014624","CD014624_G1_N1",4
"CD014624","CD014624_G1_N2",16
"CD014624","CD014624_G1_N3",8
"CD014624","CD014624_G1_N4",49
"CD014624","CD014624_G2_N1",9
"CD014624","CD014624_G2_N10",1
"CD014624","CD014624_G2_N2",2
"CD014624","CD014624_G2_N3",9
"CD014624","CD014624_G2_N4",2
"CD014624","CD014624_G2_N5",3
"CD014624","CD014624_G2_N6",9
"CD014624","CD014624_G2_N7",2
"CD014624","CD014624_G2_N8",2
"CD014624","CD014624_G2_N9",4
"CD014624","CD014624_G3_N1",3
"CD014624","CD014624_G3_N2",15
"CD014624","CD014624_G3_N3",8
"CD014624","CD014624_G3_N4",44
"CD014666","CD014666_G1_N1",2
"CD014666","CD014666_G1_N2",2
"CD014666","CD014666_G1_N3",2
"CD014666","CD014666_G1_N4",2
"CD014666","CD014666_G1_N5",2
"CD014666","CD014666_G4_N3",2
"CD014666","CD014666_G4_N5",4
"CD014678","CD014678_G1_N3",1
"CD014688","CD014688_G1_N1",1
"CD014688","CD014688_G2_N1",3
"CD014688","CD014688_G3_N1",2
"CD014688","CD014688_G4_N1",2
"CD014713","CD014713_G1_N1",3
"CD014713","CD014713_G1_N3",1
"CD014713","CD014713_G2_N1",1
"CD014736","CD014736_G1_N2",2
"CD014736","CD014736_G2_N2",3
"CD014736","CD014736_G2_N6",2
"CD014741","CD014741_G1_N5",4
"CD014741","CD014741_G1_N6",4
"CD014741","CD014741_G2_N4",4
"CD014741","CD014741_G2_N5",5
"CD014741","CD014741_G3_N4",22
"CD014741","CD014741_G3_N5",22
"CD014741","CD014741_G4_N5",12
"CD014741","CD014741_G4_N6",12
"CD014741","CD014741_G5_N5",3
"CD014741","CD014741_G5_N6",4
"CD014741","CD014741_G6_N3",6
"CD014741","CD014741_G6_N4",7
"CD014755","CD014755_G1_N1",1
"CD014755","CD014755_G2_N1",1
"CD014755","CD014755_G2_N7",1
"CD014755","CD014755_G2_N9",1
"CD014758","CD014758_G10_N1",2
"CD014758","CD014758_G11_N1",2
"CD014758","CD014758_G11_N2",2
"CD014758","CD014758_G11_N3",1
"CD014758","CD014758_G11_N4",1
"CD014758","CD014758_G2_N1",22
"CD014758","CD014758_G2_N2",10
"CD014758","CD014758_G2_N3",1
"CD014758","CD014758_G3_N1",6
"CD014758","CD014758_G3_N2",3
"CD014758","CD014758_G4_N1",19
"CD014758","CD014758_G4_N2",19
"CD014758","CD014758_G4_N3",1
"CD014758","CD014758_G4_N4",1
"CD014758","CD014758_G6_N1",16
"CD014758","CD014758_G7_N1",21
"CD014758","CD014758_G7_N10",1
"CD014758","CD014758_G7_N2",22
"CD014758","CD014758_G7_N3",12
"CD014758","CD014758_G7_N4",12
"CD014758","CD014758_G7_N7",1
"CD014758","CD014758_G7_N9",2
"CD014758","CD014758_G8_N1",16
"CD014758","CD014758_G8_N2",17
"CD014758","CD014758_G8_N3",9
"CD014758","CD014758_G8_N4",10
"CD014758","CD014758_G8_N7",1
"CD014762","CD014762_G2_N4",1
"CD014769","CD014769_G1_N1",6
"CD014769","CD014769_G1_N10",2
"CD014769","CD014769_G1_N11",1
"CD014769","CD014769_G1_N12",3
"CD014769","CD014769_G1_N13",6
"CD014769","CD014769_G1_N14",1
"CD014769","CD014769_G1_N16",2
"CD014769","CD014769_G1_N18",1
"CD014769","CD014769_G1_N2",4
"CD014769","CD014769_G1_N20",1
"CD014769","CD014769_G1_N21",4
"CD014769","CD014769_G1_N22",4
"CD014769","CD014769_G1_N23",11
"CD014769","CD014769_G1_N24",3
"CD014769","CD014769_G1_N25",3
"CD014769","CD014769_G1_N26",2
"CD014769","CD014769_G1_N28",2
"CD014769","CD014769_G1_N5",26
"CD014769","CD014769_G1_N6",3
"CD014769","CD014769_G1_N7",8
"CD014769","CD014769_G1_N8",11
"CD014769","CD014769_G1_N9",26
"CD014792","CD014792_G1_N2",3
"CD014792","CD014792_G1_N7",2
"CD014792","CD014792_G1_N8",2
"CD014792","CD014792_G2_N10",2
"CD014792","CD014792_G2_N9",2
"CD014792","CD014792_G3_N3",1
"CD014792","CD014792_G3_N4",2
"CD014792","CD014792_G3_N5",6
"CD014792","CD014792_G3_N6",1
"CD014802","CD014802_G1_N1",1
"CD014802","CD014802_G1_N12",1
"CD014802","CD014802_G1_N9",1
"CD014803","CD014803_G1_N1",3
"CD014803","CD014803_G1_N2",2
"CD014803","CD014803_G2_N1",2
"CD014820","CD014820_G1_N4",3
"CD014820","CD014820_G1_N6",1
"CD014820","CD014820_G3_N4",9
"CD014820","CD014820_G3_N5",3
"CD014820","CD014820_G3_N6",11
"CD014820","CD014820_G3_N8",1
"CD014820","CD014820_G4_N4",10
"CD014820","CD014820_G4_N5",3
"CD014820","CD014820_G4_N6",11
"CD014820","CD014820_G7_N4",2
"CD014820","CD014820_G7_N5",1
"CD014820","CD014820_G8_N1",2
"CD014820","CD014820_G8_N3",1
"CD014820","CD014820_G9_N4",3
"CD014820","CD014820_G9_N6",1
"CD014833","CD014833_G1_N4",1
"CD014833","CD014833_G1_N7",1
"CD014845","CD014845_G1_N1",19
"CD014845","CD014845_G1_N2",19
"CD014845","CD014845_G1_N3",20
"CD014845","CD014845_G1_N4",19
"CD014845","CD014845_G1_N5",19
"CD014845","CD014845_G1_N6",19
"CD014845","CD014845_G1_N7",16
"CD014845","CD014845_G2_N1",2
"CD014852","CD014852_G1_N7",1
"CD014852","CD014852_G10_N3",1
"CD014855","CD014855_G1_N1",7
"CD014855","CD014855_G1_N2",7
"CD014855","CD014855_G1_N3",2
"CD014855","CD014855_G1_N4",3
"CD014855","CD014855_G1_N5",5
"CD014855","CD014855_G2_N2",5
"CD014855","CD014855_G3_N2",3
"CD014855","CD014855_G3_N5",1
"CD014861","CD014861_G1_N1",1
"CD014861","CD014861_G1_N10",1
"CD014861","CD014861_G1_N11",3
"CD014861","CD014861_G1_N3",1
"CD014861","CD014861_G1_N5",1
"CD014861","CD014861_G1_N6",1
"CD014861","CD014861_G1_N8",5
"CD014861","CD014861_G1_N9",2
"CD014861","CD014861_G2_N1",1
"CD014861","CD014861_G2_N2",1
"CD014861","CD014861_G2_N3",1
"CD014861","CD014861_G2_N4",1
"CD014861","CD014861_G2_N5",1
"CD014861","CD014861_G2_N6",2
"CD014869","CD014869_G1_N1",3
"CD014869","CD014869_G1_N2",1
"CD014869","CD014869_G1_N4",1
"CD014869","CD014869_G1_N6",6
"CD014869","CD014869_G1_N7",6
"CD014872","CD014872_G1_N1",14
"CD014872","CD014872_G1_N10",2
"CD014872","CD014872_G1_N11",3
"CD014872","CD014872_G1_N12",2
"CD014872","CD014872_G1_N13",1
"CD014872","CD014872_G1_N14",2
"CD014872","CD014872_G1_N15",1
"CD014872","CD014872_G1_N2",14
"CD014872","CD014872_G1_N3",15
"CD014872","CD014872_G1_N4",14
"CD014872","CD014872_G1_N5",14
"CD014872","CD014872_G1_N6",14
"CD014872","CD014872_G1_N7",15
"CD014872","CD014872_G1_N8",14
"CD014872","CD014872_G1_N9",6
"CD014872","CD014872_G2_N1",14
"CD014872","CD014872_G2_N10",3
"CD014872","CD014872_G2_N11",3
"CD014872","CD014872_G2_N13",1
"CD014872","CD014872_G2_N14",2
"CD014872","CD014872_G2_N2",14
"CD014872","CD014872_G2_N3",14
"CD014872","CD014872_G2_N4",8
"CD014872","CD014872_G2_N5",11
"CD014872","CD014872_G2_N6",11
"CD014872","CD014872_G2_N7",11
"CD014872","CD014872_G2_N8",6
"CD014872","CD014872_G2_N9",3
"CD014872","CD014872_G3_N1",3
"CD014872","CD014872_G3_N2",3
"CD014872","CD014872_G3_N3",1
"CD014872","CD014872_G3_N4",3
"CD014872","CD014872_G3_N5",3
"CD014872","CD014872_G4_N1",4
"CD014872","CD014872_G4_N2",3
"CD014872","CD014872_G4_N3",1
"CD014872","CD014872_G4_N6",1
"CD014889","CD014889_G1_N2",1
"CD014889","CD014889_G1_N3",1
"CD014914","CD014914_G1_N1",9
"CD014914","CD014914_G10_N1",5
"CD014914","CD014914_G11_N1",16
"CD014914","CD014914_G11_N2",4
"CD014914","CD014914_G11_N3",3
"CD014914","CD014914_G11_N4",16
"CD014914","CD014914_G11_N5",15
"CD014914","CD014914_G12_N1",2
"CD014914","CD014914_G12_N2",1
"CD014914","CD014914_G13_N1",1
"CD014914","CD014914_G13_N10",1
"CD014914","CD014914_G13_N11",1
"CD014914","CD014914_G13_N2",1
"CD014914","CD014914_G13_N3",1
"CD014914","CD014914_G13_N4",1
"CD014914","CD014914_G13_N5",1
"CD014914","CD014914_G13_N6",1
"CD014914","CD014914_G13_N7",1
"CD014914","CD014914_G13_N8",1
"CD014914","CD014914_G13_N9",1
"CD014914","CD014914_G14_N1",6
"CD014914","CD014914_G14_N10",6
"CD014914","CD014914_G14_N11",6
"CD014914","CD014914_G14_N12",1
"CD014914","CD014914_G14_N13",1
"CD014914","CD014914_G14_N2",5
"CD014914","CD014914_G14_N3",6
"CD014914","CD014914_G14_N4",6
"CD014914","CD014914_G14_N5",1
"CD014914","CD014914_G14_N6",6
"CD014914","CD014914_G14_N7",6
"CD014914","CD014914_G14_N8",6
"CD014914","CD014914_G14_N9",1
"CD014914","CD014914_G15_N1",2
"CD014914","CD014914_G15_N10",2
"CD014914","CD014914_G15_N2",1
"CD014914","CD014914_G15_N3",2
"CD014914","CD014914_G15_N4",2
"CD014914","CD014914_G15_N5",2
"CD014914","CD014914_G15_N6",2
"CD014914","CD014914_G15_N7",2
"CD014914","CD014914_G15_N8",2
"CD014914","CD014914_G15_N9",2
"CD014914","CD014914_G16_N2",1
"CD014914","CD014914_G2_N1",2
"CD014914","CD014914_G3_N1",3
"CD014914","CD014914_G4_N1",7
"CD014914","CD014914_G4_N2",3
"CD014914","CD014914_G5_N1",2
"CD014914","CD014914_G6_N1",1
"CD014914","CD014914_G6_N2",1
"CD014914","CD014914_G6_N3",1
"CD014914","CD014914_G7_N1",2
"CD014914","CD014914_G7_N2",2
"CD014914","CD014914_G7_N3",2
"CD014914","CD014914_G7_N4",1
"CD014914","CD014914_G7_N5",1
"CD014914","CD014914_G7_N6",1
"CD014914","CD014914_G7_N7",1
"CD014914","CD014914_G7_N8",1
"CD014914","CD014914_G7_N9",1
"CD014914","CD014914_G8_N1",1
"CD014914","CD014914_G8_N2",2
"CD014914","CD014914_G9_N1",8
"CD014914","CD014914_G9_N2",8
"CD014914","CD014914_G9_N3",8
"CD014920","CD014920_G1_N6",1
"CD014923","CD014923_G2_N1",1
"CD014923","CD014923_G2_N2",1
"CD014923","CD014923_G3_N1",1
"CD014932","CD014932_G2_N4",1
"CD014932","CD014932_G2_N6",1
