"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD015326_G3_N22","CD015326","GENSUM","GIV",16,0.115,"Robust",16.4,-0.0717,1e-04,2017
"CD015326_G3_N23","CD015326","GENSUM","GIV",16,0.126,"Robust",22.1,-0.0759,0,2017
"CD015326_G3_N24","CD015326","GENSUM","GIV",10,0.339,"Moderate Fragility",35.4,-0.0693,0.0171,2017.5
"CD015326_G3_N25","CD015326","GENSUM","GIV",10,0.338,"Moderate Fragility",35.3,-0.0688,0.0171,2017.5
"CD015326_G3_N26","CD015326","GENSUM","GIV",10,0.339,"Moderate Fragility",35.7,-0.0695,0.0158,2017.5
"CD015326_G3_N28","CD015326","GENSUM","GIV",6,0.461,"Moderate Fragility",13.2,-1.8767,0.0106,2018
"CD015326_G3_N29","CD015326","GENSUM","GIV",6,0.461,"Moderate Fragility",13.2,-1.8767,0.0106,2018
"CD015326_G3_N3","CD015326","GENSUM","GIV",5,0.626,"High Fragility",8.3,-0.2051,0.044,2017
"CD015326_G3_N30","CD015326","GENSUM","GIV",6,0.461,"Moderate Fragility",13.2,-1.8767,0.0106,2018
"CD015326_G3_N32","CD015326","GENSUM","GIV",13,0.35,"Moderate Fragility",71,-0.0926,0.168,2017
"CD015326_G3_N33","CD015326","GENSUM","GIV",10,0.431,"Moderate Fragility",35.6,-0.0371,0.6335,2017.5
"CD015326_G3_N34","CD015326","GENSUM","GIV",5,0.365,"Moderate Fragility",0,-0.1633,0.1381,2017
"CD015326_G3_N35","CD015326","GENSUM","GIV",14,0.243,"Low Fragility",28.6,-0.0376,0.1754,2015
"CD015326_G3_N36","CD015326","GENSUM","GIV",16,0.089,"Robust",0,-0.0741,4e-04,2017
"CD015326_G3_N37","CD015326","GENSUM","GIV",10,0.314,"Moderate Fragility",0,-0.053,0.0319,2017.5
"CD015326_G3_N38","CD015326","GENSUM","GIV",6,0.428,"Moderate Fragility",0,-1.8678,0.0126,2018
"CD015326_G3_N4","CD015326","GENSUM","GIV",14,0.245,"Low Fragility",36.6,-0.0336,0.1273,2015
"CD015326_G3_N5","CD015326","GENSUM","GIV",16,0.116,"Robust",16.5,-0.0717,1e-04,2017
"CD015326_G3_N6","CD015326","GENSUM","GIV",10,0.338,"Moderate Fragility",35.3,-0.0688,0.0171,2017.5
"CD015326_G3_N8","CD015326","GENSUM","GIV",6,0.461,"Moderate Fragility",13.2,-1.8767,0.0106,2018
"CD015326_G5_N5","CD015326","GENSUM","GIV",3,0.264,"Low Fragility",0,0.0402,0.5497,2021
"CD015328_G1_N1","CD015328","GENSUM","GIV",5,0.503,"High Fragility",3.9,0.0036,0.9472,2011
"CD015328_G1_N2","CD015328","GENSUM","GIV",9,0.53,"High Fragility",23.9,0.0012,0.9826,2014
"CD015328_G1_N4","CD015328","GENSUM","GIV",8,0.557,"High Fragility",91.1,-0.0578,0.0718,2013
"CD015328_G1_N5","CD015328","GENSUM","GIV",9,0.421,"Moderate Fragility",69.8,-0.0443,0.0792,2014
"CD015328_G1_N6","CD015328","GENSUM","GIV",7,0.438,"Moderate Fragility",65.4,-0.0455,0.1145,2012
"CD015328_G1_N7","CD015328","GENSUM","GIV",3,0.612,"High Fragility",53.4,1.9522,0.4975,2021
"CD015328_G1_N8","CD015328","GENSUM","GIV",3,0.639,"High Fragility",33.6,-0.9186,0.332,2020
"CD015328_G2_N1","CD015328","GENSUM","GIV",14,0.482,"Moderate Fragility",88.7,-0.0143,0.8669,2016
"CD015328_G2_N2","CD015328","GENSUM","GIV",16,0.154,"Low Fragility",25.7,-0.1178,8e-04,2013.5
"CD015328_G2_N3","CD015328","GENSUM","GIV",8,0.502,"High Fragility",67.3,-0.0686,0.4532,2011
"CD015328_G2_N4","CD015328","GENSUM","GIV",6,0.397,"Moderate Fragility",18.4,-0.0193,0.2794,2017.5
"CD015328_G2_N5","CD015328","GENSUM","GIV",13,0.257,"Low Fragility",51.5,-0.052,0.004,2017
"CD015328_G2_N6","CD015328","GENSUM","GIV",6,0.524,"High Fragility",56.8,-0.0235,0.4767,2014
"CD015328_G2_N9","CD015328","GENSUM","GIV",3,0.384,"Moderate Fragility",0,-0.7768,0.3673,2016
"CD015328_G3_N1","CD015328","GENSUM","GIV",27,0.236,"Low Fragility",84.3,-0.0996,0.1153,2013
"CD015328_G3_N2","CD015328","GENSUM","GIV",21,0.236,"Low Fragility",76.7,-0.1059,0.0704,2014
"CD015328_G3_N3","CD015328","GENSUM","GIV",16,0.412,"Moderate Fragility",82,0.0291,0.7293,2012.5
"CD015328_G3_N4","CD015328","GENSUM","GIV",26,0.182,"Low Fragility",59.7,-0.0301,0.0771,2014.5
"CD015328_G3_N5","CD015328","GENSUM","GIV",24,0.198,"Low Fragility",85.3,-0.0465,0.0061,2015
"CD015328_G3_N6","CD015328","GENSUM","GIV",22,0.292,"Low Fragility",93.9,-0.0232,0.3515,2014.5
"CD015328_G3_N7","CD015328","GENSUM","GIV",5,0.298,"Low Fragility",0,0.7348,0.2429,2011
"CD015328_G3_N8","CD015328","GENSUM","GIV",8,0.457,"Moderate Fragility",70.5,-0.7236,0.2896,2015
"CD015328_G3_N9","CD015328","GENSUM","GIV",5,0.632,"High Fragility",88.3,-0.7679,0.6071,2014
"CD015330_G1_N1","CD015330","GENSUM","GIV",3,0.311,"Moderate Fragility",0,-0.177,0.1379,2010
"CD015330_G1_N2","CD015330","GENSUM","GIV",3,0.727,"High Fragility",90.5,-0.6417,0.0369,2016
"CD015330_G1_N4","CD015330","GENSUM","GIV",5,0.637,"High Fragility",73.2,-0.0625,0.0368,2015
"CD015330_G2_N1","CD015330","GENSUM","GIV",6,0.583,"High Fragility",98.7,-0.6359,0.3565,2012.5
"CD015330_G2_N2","CD015330","GENSUM","GIV",3,0.469,"Moderate Fragility",28.5,-0.3234,0.0018,2016
"CD015330_G2_N4","CD015330","GENSUM","GIV",7,0.268,"Low Fragility",0,0.0194,0.1426,2018
"CD015330_G2_N5","CD015330","GENSUM","GIV",6,0.562,"High Fragility",50.8,0.0045,0.8456,2017
"CD015330_G3_N1","CD015330","GENSUM","GIV",11,0.227,"Low Fragility",0,0.0301,0.57,2011
"CD015330_G3_N2","CD015330","GENSUM","GIV",8,0.368,"Moderate Fragility",0,0.013,0.7963,2014
"CD015330_G3_N3","CD015330","GENSUM","GIV",6,0.406,"Moderate Fragility",50.1,0.0611,0.2147,2012.5
"CD015330_G3_N4","CD015330","GENSUM","GIV",3,0.504,"High Fragility",79.7,-0.0924,0.1185,2018
"CD015330_G3_N5","CD015330","GENSUM","GIV",6,0.506,"High Fragility",57.1,-0.0469,0.0911,2012
"CD015330_G3_N6","CD015330","GENSUM","GIV",7,0.262,"Low Fragility",0,-0.0167,0.1386,2013
"CD015350_G1_N1","CD015350","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2007
"CD015350_G1_N3","CD015350","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD015350_G1_N5","CD015350","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2000
"CD015350_G1_N6","CD015350","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2003.5
"CD015350_G2_N1","CD015350","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2006
"CD015350_G2_N4","CD015350","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD015350_G2_N5","CD015350","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2007
"CD015373_G1_N1","CD015373","GENSUM","GEN_CI",3,0.587,"High Fragility",67.4,-15.7998,0.0514,2011
"CD015373_G1_N10","CD015373","GENSUM","GEN_CI",3,0.354,"Moderate Fragility",0,1.358,0.1837,2013
"CD015373_G1_N11","CD015373","GENSUM","GEN_CI",4,0.346,"Moderate Fragility",0,1.3804,0.1762,2016
"CD015373_G1_N12","CD015373","GENSUM","GEN_CI",3,0.677,"High Fragility",44.2,2.6013,0.3045,2009
"CD015373_G1_N15","CD015373","GENSUM","GEN_CI",3,0.402,"Moderate Fragility",0,3.7796,0.0375,2019
"CD015373_G1_N2","CD015373","GENSUM","GEN_CI",3,0.587,"High Fragility",67.4,-15.7998,0.0514,2011
"CD015373_G1_N23","CD015373","GENSUM","GEN_CI",3,0.472,"Moderate Fragility",0,0.0846,0.9666,2011
"CD015373_G1_N4","CD015373","GENSUM","GEN_CI",4,0.332,"Moderate Fragility",0,-5.3182,0.3064,2010
"CD015373_G1_N5","CD015373","GENSUM","GEN_CI",4,0.332,"Moderate Fragility",0,-5.3182,0.3064,2010
"CD015373_G1_N6","CD015373","GENSUM","GEN_CI",4,0.332,"Moderate Fragility",0,-5.3182,0.3064,2010
"CD015373_G1_N9","CD015373","GENSUM","GEN_CI",4,0.346,"Moderate Fragility",0,1.3804,0.1762,2016
"CD015373_G7_N10","CD015373","GENSUM","GEN_CI",3,0.287,"Low Fragility",0,1.0227,0,2003
"CD015373_G7_N11","CD015373","GENSUM","GEN_CI",3,0.287,"Low Fragility",0,1.0227,0,2003
"CD015373_G7_N12","CD015373","GENSUM","GEN_CI",3,0.287,"Low Fragility",0,1.0227,0,2003
"CD015373_G7_N13","CD015373","GENSUM","GEN_CI",3,0.476,"Moderate Fragility",0,0.7054,0.0012,2003
"CD015373_G7_N14","CD015373","GENSUM","GEN_CI",3,0.472,"Moderate Fragility",0,0.3942,0.3432,2003
"CD015373_G7_N15","CD015373","GENSUM","GEN_CI",3,0.462,"Moderate Fragility",0,1.3148,0.01,2003
"CD015373_G7_N16","CD015373","GENSUM","GEN_CI",3,0.507,"High Fragility",0,0.9607,0.0316,2003
"CD015373_G7_N19","CD015373","GENSUM","GEN_CI",3,0.292,"Low Fragility",0,-0.8171,0,2010
"CD015373_G7_N2","CD015373","GENSUM","GEN_CI",6,0.388,"Moderate Fragility",59.3,-8.7318,0.1035,2008
"CD015373_G7_N23","CD015373","GENSUM","GEN_CI",5,0.415,"Moderate Fragility",0,0.255,0.6503,2003
"CD015373_G7_N3","CD015373","GENSUM","GEN_CI",6,0.388,"Moderate Fragility",59.3,-8.7318,0.1035,2008
"CD015373_G7_N4","CD015373","GENSUM","GEN_CI",6,0.388,"Moderate Fragility",59.3,-8.7318,0.1035,2008
"CD015373_G7_N5","CD015373","GENSUM","GEN_CI",6,0.388,"Moderate Fragility",59.3,-8.7318,0.1035,2008
"CD015373_G8_N4","CD015373","GENSUM","GEN_CI",3,0.281,"Low Fragility",0,1.0315,0.4837,2004
"CD015383_G1_N1","CD015383","GENSUM","GIV",5,0.25,"Low Fragility",0,-8.4087,3e-04,2016
"CD015383_G1_N2","CD015383","GENSUM","GIV",5,0.25,"Low Fragility",0,-9.0399,2e-04,2016
"CD015383_G1_N3","CD015383","GENSUM","GIV",4,0.34,"Moderate Fragility",0,-4.9179,0.0173,2016
"CD015383_G1_N4","CD015383","GENSUM","GIV",5,0.316,"Moderate Fragility",0,-0.4281,0.0208,2016
"CD015387_G1_N1","CD015387","GENSUM","GEN_CI",18,0.135,"Robust",47.5,1.2205,0,2005.5
"CD015387_G1_N2","CD015387","GENSUM","GEN_CI",4,0.242,"Low Fragility",0,1.093,0,2016
"CD015387_G1_N3","CD015387","GENSUM","GEN_CI",22,0.066,"Robust",28.8,0.7334,0,2008
"CD015387_G1_N4","CD015387","GENSUM","GEN_CI",5,0.268,"Low Fragility",14.2,0.8633,0,2016
"CD015387_G1_N5","CD015387","GENSUM","GEN_CI",11,0.211,"Low Fragility",28.1,0.6898,0,2011
"CD015387_G2_N1","CD015387","GENSUM","GEN_CI",6,0.363,"Moderate Fragility",34.3,0.9473,0.0046,2002
"CD015387_G2_N3","CD015387","GENSUM","GEN_CI",5,0.232,"Low Fragility",0,0.7804,0,2006
"CD015387_G2_N5","CD015387","GENSUM","GEN_CI",3,0.269,"Low Fragility",0,0.6363,0,1998
"CD015387_G3_N1","CD015387","GENSUM","GEN_CI",10,0.261,"Low Fragility",48.8,1.3252,0,2008.5
"CD015387_G3_N3","CD015387","GENSUM","GEN_CI",10,0.261,"Low Fragility",48.8,1.3252,0,2008.5
"CD015387_G3_N4","CD015387","GENSUM","GEN_CI",14,0.11,"Robust",6.6,0.6395,0,2008.5
"CD015387_G3_N5","CD015387","GENSUM","GEN_CI",3,0.263,"Low Fragility",0,0.7939,0,2019
"CD015387_G3_N6","CD015387","GENSUM","GEN_CI",14,0.11,"Robust",6.6,0.6395,0,2008.5
"CD015387_G3_N7","CD015387","GENSUM","GEN_CI",7,0.207,"Low Fragility",0,0.5813,0,2016
"CD015387_G3_N8","CD015387","GENSUM","GEN_CI",7,0.207,"Low Fragility",0,0.5813,0,2016
"CD015443_G2_N2","CD015443","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD015448_G1_N1","CD015448","GENSUM","GIV",6,0.467,"Moderate Fragility",68.1,-1.0769,0.0573,2018.5
"CD015448_G1_N3","CD015448","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2019
"CD015448_G1_N6","CD015448","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD015448_G2_N1","CD015448","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2022
"CD015448_G2_N3","CD015448","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD015476_G3_N1","CD015476","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2021
"CD015476_G3_N2","CD015476","GENSUM","GIV",15,0.075,"Robust",0,0,1,2021
"CD015476_G3_N3","CD015476","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2021
"CD015476_G3_N4","CD015476","GENSUM","GIV",13,0.105,"Robust",0,0,1,2021
"CD015476_G3_N5","CD015476","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2021
"CD015495_G1_N1","CD015495","GENSUM","GIV",8,0.189,"Low Fragility",0,-0.2448,0,2020
"CD015495_G1_N2","CD015495","GENSUM","GIV",6,0.227,"Low Fragility",0,-0.2832,1e-04,2020.5
"CD015495_G1_N3","CD015495","GENSUM","GIV",4,0.33,"Moderate Fragility",0,-0.1062,0.4094,2019
"CD015495_G3_N1","CD015495","GENSUM","GIV",7,0.2,"Low Fragility",0,-0.4949,0,2020
"CD015495_G3_N2","CD015495","GENSUM","GIV",8,0.196,"Low Fragility",0.7,-0.4456,0,2021
"CD015495_G3_N3","CD015495","GENSUM","GIV",3,0.76,"High Fragility",60.7,-0.1844,0.4608,2020
"CD015517_G1_N1","CD015517","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2009
"CD015517_G1_N4","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011.5
"CD015517_G10_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G10_N2","CD015517","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012
"CD015517_G10_N3","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G10_N4","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G11_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G11_N3","CD015517","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012
"CD015517_G11_N4","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G11_N5","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G12_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G12_N3","CD015517","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012
"CD015517_G12_N4","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G12_N5","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G2_N1","CD015517","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2009
"CD015517_G3_N1","CD015517","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2009
"CD015517_G3_N2","CD015517","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2009
"CD015517_G4_N1","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2009
"CD015517_G5_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G5_N2","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011.5
"CD015517_G6_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G6_N2","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011.5
"CD015517_G7_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G7_N3","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011.5
"CD015517_G8_N1","CD015517","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD015517_G8_N3","CD015517","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2013
"CD015517_G9_N1","CD015517","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013
"CD015517_G9_N3","CD015517","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012
"CD015517_G9_N4","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015517_G9_N5","CD015517","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD015518_G1_N1","CD015518","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2015
"CD015518_G1_N4","CD015518","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2015
"CD015518_G10_N1","CD015518","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD015518_G10_N2","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD015518_G11_N1","CD015518","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD015518_G11_N2","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD015518_G12_N1","CD015518","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD015518_G12_N2","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD015518_G2_N1","CD015518","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2015
"CD015518_G2_N2","CD015518","GENSUM","GIV",10,0.15,"Robust",0,0,1,2017
"CD015518_G2_N3","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD015518_G3_N1","CD015518","GENSUM","GIV",10,0.15,"Robust",0,0,1,2017
"CD015518_G3_N2","CD015518","GENSUM","GIV",11,0.135,"Robust",0,0,1,2019
"CD015518_G3_N3","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD015518_G4_N1","CD015518","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2019
"CD015518_G4_N2","CD015518","GENSUM","GIV",10,0.15,"Robust",0,0,1,2019
"CD015518_G4_N3","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD015518_G5_N1","CD015518","GENSUM","GIV",10,0.15,"Robust",0,0,1,2017
"CD015518_G5_N2","CD015518","GENSUM","GIV",11,0.135,"Robust",0,0,1,2019
"CD015518_G6_N1","CD015518","GENSUM","GIV",10,0.15,"Robust",0,0,1,2017
"CD015518_G6_N2","CD015518","GENSUM","GIV",11,0.135,"Robust",0,0,1,2019
"CD015518_G6_N3","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD015518_G7_N2","CD015518","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD015518_G9_N1","CD015518","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD015518_G9_N2","CD015518","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD015519_G2_N1","CD015519","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015519_G2_N2","CD015519","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2009
"CD015519_G3_N1","CD015519","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015519_G3_N2","CD015519","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2009
"CD015520_G1_N4","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD015520_G2_N1","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD015520_G2_N2","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD015520_G3_N1","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD015520_G4_N1","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD015520_G4_N2","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD015520_G5_N1","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD015520_G5_N3","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015520_G6_N1","CD015520","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD015520_G6_N2","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015520_G6_N3","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018.5
"CD015520_G7_N1","CD015520","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD015520_G7_N2","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015520_G8_N1","CD015520","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD015520_G8_N2","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015520_G8_N3","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018.5
"CD015520_G9_N1","CD015520","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD015520_G9_N2","CD015520","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD015520_G9_N3","CD015520","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018.5
"CD015524_G1_N4","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD015524_G1_N5","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD015524_G3_N23","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD015524_G3_N25","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD015524_G3_N4","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD015524_G3_N5","CD015524","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2021
"CD015524_G3_N7","CD015524","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD015532_G4_N5","CD015532","GENSUM","GIV",4,0.643,"High Fragility",64.1,-0.2238,0.4158,2021
"CD015536_G1_N10","CD015536","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2016
"CD015536_G1_N2","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G1_N4","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G1_N6","CD015536","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2016
"CD015536_G1_N7","CD015536","GENSUM","GIV",14,0.09,"Robust",0,0,1,2015
"CD015536_G1_N8","CD015536","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2014
"CD015536_G1_N9","CD015536","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2016
"CD015536_G2_N1","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G2_N2","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G2_N3","CD015536","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD015536_G2_N4","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G3_N10","CD015536","GENSUM","GIV",11,0.135,"Robust",0,0,1,2016
"CD015536_G3_N6","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G3_N7","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G3_N8","CD015536","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD015536_G3_N9","CD015536","GENSUM","GIV",11,0.135,"Robust",0,0,1,2016
"CD015551_G1_N4","CD015551","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD015551_G1_N5","CD015551","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD015551_G1_N6","CD015551","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD015573_G2_N2","CD015573","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD015584_G1_N1","CD015584","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD015584_G1_N10","CD015584","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD015584_G1_N2","CD015584","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2013
"CD015584_G1_N3","CD015584","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2014
"CD015584_G1_N4","CD015584","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2013.5
"CD015584_G1_N5","CD015584","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2012
"CD015584_G1_N6","CD015584","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012.5
"CD015584_G1_N8","CD015584","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2013
"CD015584_G1_N9","CD015584","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2013
"CD015584_G2_N2","CD015584","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011.5
"CD015584_G2_N4","CD015584","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2012
"CD015584_G2_N5","CD015584","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD015584_G3_N2","CD015584","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2010
"CD015584_G4_N1","CD015584","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2012
"CD015588_G1_N11","CD015588","GENSUM","GIV",6,0.431,"Moderate Fragility",63.7,-0.1463,0.1482,2017
"CD015588_G1_N13","CD015588","GENSUM","GIV",8,0.366,"Moderate Fragility",27.6,-0.1401,0.3356,2015
"CD015588_G1_N17","CD015588","GENSUM","GIV",6,0.466,"Moderate Fragility",59.3,-0.1533,0.1967,2017
"CD015588_G1_N19","CD015588","GENSUM","GIV",5,0.235,"Low Fragility",0,-0.3642,0,2017
"CD015588_G1_N2","CD015588","GENSUM","GIV",19,0.076,"Robust",14.3,-0.1534,1e-04,2017
"CD015588_G1_N21","CD015588","GENSUM","GIV",14,0.169,"Low Fragility",28.7,-0.1471,3e-04,2017
"CD015588_G1_N23","CD015588","GENSUM","GIV",4,0.711,"High Fragility",66.5,-0.216,0.0063,2020
"CD015588_G1_N25","CD015588","GENSUM","GIV",5,0.24,"Low Fragility",0,-0.4945,1e-04,2014
"CD015588_G1_N27","CD015588","GENSUM","GIV",10,0.166,"Low Fragility",0,-0.3811,0,2017.5
"CD015588_G1_N32","CD015588","GENSUM","GIV",3,0.61,"High Fragility",18.9,-0.4006,0.0282,2014
"CD015588_G1_N34","CD015588","GENSUM","GIV",13,0.161,"Low Fragility",22.3,-0.4866,0,2018
"CD015588_G1_N4","CD015588","GENSUM","GIV",16,0.133,"Robust",16.4,-0.1629,9e-04,2017.5
"CD015588_G1_N43","CD015588","GENSUM","GIV",10,0.365,"Moderate Fragility",32.3,-0.0539,0.4013,2016.5
